Gene,Transcript,Exon
ENSG00000157500,ENST00000650354,ENSE00003837686
ENSG00000157500,ENST00000650354,ENSE00003577757
ENSG00000157500,ENST00000650354,ENSE00003599120
ENSG00000157500,ENST00000650354,ENSE00003522948
ENSG00000157500,ENST00000650354,ENSE00003560629
ENSG00000157500,ENST00000650354,ENSE00003786983
ENSG00000157500,ENST00000650354,ENSE00003666816
ENSG00000157500,ENST00000650354,ENSE00003674112
ENSG00000157500,ENST00000650354,ENSE00003688235
ENSG00000157500,ENST00000650354,ENSE00003648000
ENSG00000157500,ENST00000650354,ENSE00003656992
ENSG00000157500,ENST00000650354,ENSE00003634217
ENSG00000157500,ENST00000650354,ENSE00003472631
ENSG00000157500,ENST00000650354,ENSE00003465942
ENSG00000157500,ENST00000650354,ENSE00003603225
ENSG00000157500,ENST00000650354,ENSE00003461140
ENSG00000157500,ENST00000650354,ENSE00003516737
ENSG00000157500,ENST00000650354,ENSE00003566230
ENSG00000157500,ENST00000650354,ENSE00003674290
ENSG00000157500,ENST00000650354,ENSE00003594957
ENSG00000157500,ENST00000650354,ENSE00001032946
ENSG00000157500,ENST00000650354,ENSE00003834623
ENSG00000157500,ENST00000650354,ENSE00003831931
ENSG00000157500,ENST00000650354,ENSE00003833794
ENSG00000157500,ENST00000288266,ENSE00001277615
ENSG00000157500,ENST00000288266,ENSE00003577757
ENSG00000157500,ENST00000288266,ENSE00003599120
ENSG00000157500,ENST00000288266,ENSE00003522948
ENSG00000157500,ENST00000288266,ENSE00003560629
ENSG00000157500,ENST00000288266,ENSE00003786983
ENSG00000157500,ENST00000288266,ENSE00003666816
ENSG00000157500,ENST00000288266,ENSE00003674112
ENSG00000157500,ENST00000288266,ENSE00003688235
ENSG00000157500,ENST00000288266,ENSE00003648000
ENSG00000157500,ENST00000288266,ENSE00003656992
ENSG00000157500,ENST00000288266,ENSE00003634217
ENSG00000157500,ENST00000288266,ENSE00003472631
ENSG00000157500,ENST00000288266,ENSE00003465942
ENSG00000157500,ENST00000288266,ENSE00003603225
ENSG00000157500,ENST00000288266,ENSE00003461140
ENSG00000157500,ENST00000288266,ENSE00003516737
ENSG00000157500,ENST00000288266,ENSE00003566230
ENSG00000157500,ENST00000288266,ENSE00003674290
ENSG00000157500,ENST00000288266,ENSE00003594957
ENSG00000157500,ENST00000288266,ENSE00001032946
ENSG00000157500,ENST00000288266,ENSE00001121992
ENSG00000157500,ENST00000482800,ENSE00001825338
